Time (s), df/f, epoch
0.0048, -0.0670, 1
0.0148, -0.0454, 1
0.0248, 0.0056, 1
0.0348, 0.0509, 1
0.0448, 0.0376, 1
0.0548, -0.0340, 1
0.0648, -0.1056, 1
0.0748, -0.1431, 1
0.0848, -0.1515, 1
0.0948, -0.1487, 1
0.1048, -0.1492, 1
0.1148, -0.1484, 1
0.1248, -0.1472, 1
0.1348, -0.1448, 1
0.1448, -0.1433, 1
0.1548, -0.1419, 1
0.1648, -0.1410, 1
0.1748, -0.1406, 1
0.1848, -0.1406, 1
0.1948, -0.1387, 1
0.2048, -0.1363, 1
0.2148, -0.1353, 1
0.2248, -0.1352, 1
0.2348, -0.1344, 1
0.2448, -0.1335, 1
0.2548, -0.1330, 1
0.2648, -0.1313, 1
0.2748, -0.1292, 1
0.2848, -0.1289, 1
0.2948, -0.1304, 1
0.3048, -0.1309, 1
0.3148, -0.1291, 1
0.3248, -0.1263, 1
0.3348, -0.1232, 1
0.3448, -0.1195, 1
0.3548, -0.1198, 1
0.3648, -0.1219, 1
0.3748, -0.1233, 1
0.3848, -0.1219, 1
0.3948, -0.1188, 1
0.4048, -0.1157, 1
0.4148, -0.1139, 1
0.4248, -0.1136, 1
0.4348, -0.1156, 1
0.4448, -0.1165, 1
0.4548, -0.1142, 1
0.4648, -0.1111, 1
0.4748, -0.1089, 1
0.4848, -0.1072, 1
0.4948, -0.1050, 1
0.5048, -0.1039, 1
0.5148, -0.1045, 1
0.5248, -0.1045, 1
0.5348, -0.1037, 1
0.5448, -0.1040, 1
0.5548, -0.1052, 1
0.5648, -0.1053, 1
0.5748, -0.1042, 1
0.5848, -0.1035, 1
0.5948, -0.1020, 1
0.6048, -0.0988, 1
0.6148, -0.0951, 1
0.6248, -0.0928, 1
0.6348, -0.0928, 1
0.6448, -0.0923, 1
0.6548, -0.0929, 1
0.6648, -0.0935, 1
0.6748, -0.0920, 1
0.6848, -0.0907, 1
0.6948, -0.0927, 1
0.7048, -0.0947, 1
0.7148, -0.0950, 1
0.7248, -0.0926, 1
0.7348, -0.0897, 1
0.7448, -0.0858, 1
0.7548, -0.0829, 1
0.7648, -0.0823, 1
0.7748, -0.0842, 1
0.7848, -0.0846, 1
0.7948, -0.0828, 1
0.8048, -0.0810, 1
0.8148, -0.0799, 1
0.8248, -0.0799, 1
0.8348, -0.0802, 1
0.8448, -0.0806, 1
0.8548, -0.0794, 1
0.8648, -0.0764, 1
0.8748, -0.0725, 1
0.8848, -0.0701, 1
0.8948, -0.0694, 1
0.9048, -0.0690, 1
0.9148, -0.0701, 1
0.9248, -0.0724, 1
0.9348, -0.0716, 1
0.9448, -0.0712, 1
0.9548, -0.0727, 1
0.9648, -0.0733, 1
0.9748, -0.0719, 1
0.9848, -0.0689, 1
0.9948, -0.0681, 1
1.0048, -0.0688, 1
1.0148, -0.0693, 1
1.0248, -0.0713, 1
1.0348, -0.0735, 1
1.0448, -0.0728, 1
1.0548, -0.0696, 1
1.0648, -0.0662, 1
1.0748, -0.0638, 1
1.0848, -0.0622, 1
1.0948, -0.0624, 1
1.1048, -0.0646, 1
1.1148, -0.0662, 1
1.1248, -0.0650, 1
1.1348, -0.0630, 1
1.1448, -0.0634, 1
1.1548, -0.0649, 1
1.1648, -0.0645, 1
1.1748, -0.0644, 1
1.1848, -0.0640, 1
1.1948, -0.0613, 1
1.2048, -0.0594, 1
1.2148, -0.0597, 1
1.2248, -0.0617, 1
1.2348, -0.0618, 1
1.2448, -0.0600, 1
1.2548, -0.0576, 1
1.2648, -0.0558, 1
1.2748, -0.0533, 1
1.2848, -0.0547, 1
1.2948, -0.0567, 1
1.3048, -0.0587, 1
1.3148, -0.0602, 1
1.3248, -0.0619, 1
1.3348, -0.0622, 1
1.3448, -0.0604, 1
1.3548, -0.0576, 1
1.3648, -0.0567, 1
1.3748, -0.0567, 1
1.3848, -0.0558, 1
1.3948, -0.0555, 1
1.4048, -0.0568, 1
1.4148, -0.0576, 1
1.4248, -0.0569, 1
1.4348, -0.0563, 1
1.4448, -0.0555, 1
1.4548, -0.0543, 1
1.4648, -0.0518, 1
1.4748, -0.0512, 1
1.4848, -0.0507, 1
1.4948, -0.0506, 1
1.5048, -0.0504, 1
1.5148, -0.0535, 1
1.5248, -0.0533, 1
1.5348, -0.0507, 1
1.5448, -0.0481, 1
1.5548, -0.0475, 1
1.5648, -0.0493, 1
1.5748, -0.0521, 1
1.5848, -0.0547, 1
1.5948, -0.0549, 1
1.6048, -0.0511, 1
1.6148, -0.0471, 1
1.6248, -0.0469, 1
1.6348, -0.0482, 1
1.6448, -0.0485, 1
1.6548, -0.0475, 1
1.6648, -0.0462, 1
1.6748, -0.0439, 1
1.6848, -0.0416, 1
1.6948, -0.0417, 1
1.7048, -0.0447, 1
1.7148, -0.0465, 1
1.7248, -0.0454, 1
1.7348, -0.0448, 1
1.7448, -0.0446, 1
1.7548, -0.0432, 1
1.7648, -0.0432, 1
1.7748, -0.0465, 1
1.7848, -0.0476, 1
1.7948, -0.0467, 1
1.8048, -0.0438, 1
1.8148, -0.0411, 1
1.8248, -0.0389, 1
1.8348, -0.0369, 1
1.8448, -0.0372, 1
1.8548, -0.0380, 1
1.8648, -0.0362, 1
1.8748, -0.0349, 1
1.8848, -0.0348, 1
1.8948, -0.0353, 1
1.9048, -0.0355, 1
1.9148, -0.0358, 1
1.9248, -0.0354, 1
1.9348, -0.0338, 1
1.9448, -0.0318, 1
1.9548, -0.0324, 1
1.9648, -0.0351, 1
1.9748, -0.0374, 1
1.9848, -0.0388, 1
1.9948, -0.0389, 1
2.0048, -0.0365, 1
2.0148, -0.0323, 1
2.0248, -0.0305, 1
2.0348, -0.0318, 1
2.0448, -0.0355, 1
2.0548, -0.0373, 1
2.0648, -0.0363, 1
2.0748, -0.0355, 1
2.0848, -0.0322, 1
2.0948, -0.0282, 1
2.1048, -0.0293, 1
2.1148, -0.0310, 1
2.1248, -0.0310, 1
2.1348, -0.0292, 1
2.1448, -0.0277, 1
2.1548, -0.0267, 1
2.1648, -0.0255, 1
2.1748, -0.0251, 1
2.1848, -0.0263, 1
2.1948, -0.0274, 1
2.2048, -0.0274, 1
2.2148, -0.0278, 1
2.2248, -0.0278, 1
2.2348, -0.0271, 1
2.2448, -0.0272, 1
2.2548, -0.0287, 1
2.2648, -0.0293, 1
2.2748, -0.0278, 1
2.2848, -0.0255, 1
2.2948, -0.0247, 1
2.3048, -0.0254, 1
2.3148, -0.0261, 1
2.3248, -0.0271, 1
2.3348, -0.0292, 1
2.3448, -0.0301, 1
2.3548, -0.0289, 1
2.3648, -0.0288, 1
2.3748, -0.0282, 1
2.3848, -0.0280, 1
2.3948, -0.0268, 1
2.4048, -0.0273, 1
2.4148, -0.0258, 1
2.4248, -0.0235, 1
2.4348, -0.0219, 1
2.4448, -0.0234, 1
2.4548, -0.0237, 1
2.4648, -0.0234, 1
2.4748, -0.0217, 1
2.4848, -0.0205, 1
2.4948, -0.0181, 1
2.5048, -0.0174, 1
2.5148, -0.0198, 1
2.5248, -0.0228, 1
2.5348, -0.0232, 1
2.5448, -0.0224, 1
2.5548, -0.0220, 1
2.5648, -0.0204, 1
2.5748, -0.0183, 1
2.5848, -0.0177, 1
2.5948, -0.0192, 1
2.6048, -0.0196, 1
2.6148, -0.0191, 1
2.6248, -0.0202, 1
2.6348, -0.0222, 1
2.6448, -0.0236, 1
2.6548, -0.0233, 1
2.6648, -0.0228, 1
2.6748, -0.0228, 1
2.6848, -0.0201, 1
2.6948, -0.0205, 1
2.7048, -0.0224, 1
2.7148, -0.0235, 1
2.7248, -0.0228, 1
2.7348, -0.0223, 1
2.7448, -0.0204, 1
2.7548, -0.0168, 1
2.7648, -0.0154, 1
2.7748, -0.0176, 1
2.7848, -0.0214, 1
2.7948, -0.0225, 1
2.8048, -0.0222, 1
2.8148, -0.0222, 1
2.8248, -0.0214, 1
2.8348, -0.0199, 1
2.8448, -0.0195, 1
2.8548, -0.0200, 1
2.8648, -0.0195, 1
2.8748, -0.0178, 1
2.8848, -0.0164, 1
2.8948, -0.0169, 1
2.9048, -0.0170, 1
2.9148, -0.0172, 1
2.9248, -0.0190, 1
2.9348, -0.0202, 1
2.9448, -0.0175, 1
2.9548, -0.0169, 1
2.9648, -0.0168, 1
2.9748, -0.0179, 1
2.9848, -0.0200, 1
2.9948, -0.0223, 1
3.0048, -0.0238, 1
3.0148, -0.0234, 1
3.0248, -0.0216, 1
3.0348, -0.0214, 1
3.0448, -0.0206, 1
3.0548, -0.0183, 1
3.0648, -0.0160, 1
3.0748, -0.0162, 1
3.0848, -0.0168, 1
3.0948, -0.0171, 1
3.1048, -0.0184, 1
3.1148, -0.0203, 1
3.1248, -0.0195, 1
3.1348, -0.0165, 1
3.1448, -0.0183, 1
3.1548, -0.0215, 1
3.1648, -0.0207, 1
3.1748, -0.0209, 1
3.1848, -0.0236, 1
3.1948, -0.0233, 1
3.2048, -0.0202, 1
3.2148, -0.0165, 1
3.2248, -0.0152, 1
3.2348, -0.0161, 1
3.2448, -0.0177, 1
3.2548, -0.0201, 1
3.2648, -0.0219, 1
3.2748, -0.0198, 1
3.2848, -0.0173, 1
3.2948, -0.0172, 1
3.3048, -0.0178, 1
3.3148, -0.0165, 1
3.3248, -0.0160, 1
3.3348, -0.0160, 1
3.3448, -0.0142, 1
3.3548, -0.0122, 1
3.3648, -0.0131, 1
3.3748, -0.0161, 1
3.3848, -0.0177, 1
3.3948, -0.0171, 1
3.4048, -0.0160, 1
3.4148, -0.0146, 1
3.4248, -0.0126, 1
3.4348, -0.0126, 1
3.4448, -0.0151, 1
3.4548, -0.0172, 1
3.4648, -0.0170, 1
3.4748, -0.0149, 1
3.4848, -0.0133, 1
3.4948, -0.0114, 1
3.5048, -0.0104, 1
3.5148, -0.0118, 1
3.5248, -0.0157, 1
3.5348, -0.0163, 1
3.5448, -0.0160, 1
3.5548, -0.0157, 1
3.5648, -0.0179, 1
3.5748, -0.0187, 1
3.5848, -0.0209, 1
3.5948, -0.0226, 1
3.6048, -0.0225, 1
3.6148, -0.0183, 1
3.6248, -0.0159, 1
3.6348, -0.0163, 1
3.6448, -0.0187, 1
3.6548, -0.0221, 1
3.6648, -0.0256, 1
3.6748, -0.0259, 1
3.6848, -0.0213, 1
3.6948, -0.0157, 1
