Time, C050, C051, C052, C053, C054, C055, C056, C057, C058, C059, C060, C061, C062, C063, C064, C065, C066, C067, C068, C069, C070, C071, C072, C073, C074, C075, C076, C077, C078, C079, C080, C081, C082, C083, C084, C085, C086, C087, C088, C089, C090, C091, C092, C093, C094, C095, C096, C097, C098, C099, C100
0,6884.65,341.3265,4906.607,-31925.41,-58194.95,-11278.57,-9138.936,5221.514,-107179.2,-4473.34,-15790.57,8522.765,-12453.58,-32341.07,-31755.83,-35533.85,-60239.16,-104459.7,-28837.52,-51740.81,-57716.68,-1450.07,-29269.54,-16417.99,-72793.19,-11646.79,-74395.06,-41529.09,-69674.66,-22988.86,23322.61,-622.4077,-11016.33,-58432.92,-46946.79,-63594.57,-9195.246,-15088.08,-5860.986,32773.3,-19887.65,-27324.82,-23503.01,-34977.44,-80510.2,-40301.81,-47136.32,-58831.96,-113567.1,-87753.06,-43683.89
0.05,29931.71,22513.3,4170.564,-27039.74,-50902.76,-20033.25,-26132.78,14146.17,-87969.4,8930.957,-28763.68,60432.35,-23643.8,-37685.52,-34492.23,-42791.85,-60532.38,-80853.6,-42282.74,-39880.46,-70791.52,24630.07,-25000.32,-24876.04,-67980.06,-6564.57,-101651.8,-58679.54,-62631.5,-32519.4,34651.5,16850.89,-30295.39,-51333.99,-27527.82,-62047.61,2283.854,-16085.64,-26004.37,76125.66,-54473.41,3449.468,-24859.57,16286.49,-87835.27,-69925.98,-41209.37,-45362.44,-85298.21,-54349.29,-27398.05
0.1,6763.625,13721.14,12908.08,-47656.61,-46818.85,-12565.46,-47165.41,16480.58,-77042.41,3095.17,-28703.21,53092.45,-12806.9,-36405.93,-54017.05,-48255.08,-45150.84,-59776.14,-19587.27,-25640.56,-57697.13,32187.88,-27238.55,-6165.238,-74105.46,-24021.44,-69540.16,-29699.25,-75891.03,-36357.45,14244.57,-19990.41,-31786.26,-42928.07,-24915,-62765.71,-22960.35,-25826.47,-28967.05,60253.86,-36893.13,-14805.04,-17479.59,2148.524,-62939.45,-66353.27,-39860.82,-54419.4,-73557.73,-67199.6,-25829.04
0.15,15023.91,20030.28,19528.52,-30225.08,-41831.03,-11613.2,-32325.41,-8112.011,-72213.84,1374.115,-44652.17,56257.24,-5660.366,-20342.32,-44753.89,-53879.23,-52394.38,-78182.72,-31876.82,-50221.01,-27466.47,5065.958,-10925.18,-24321.58,-55402.34,-15168.38,-64578.66,-37571.88,-82749.91,-34646.42,3759.679,-16389.54,-11910.58,-33163.94,-11237.19,-46455.41,11208.56,-26338.67,-18150.91,77811.87,-37937.65,-20956.58,-18124.04,-8190.627,-69278.34,-79512.38,-33167.6,-39672.8,-83631.01,-52389.15,-22108.76
0.2,8541.382,5856.345,24673.23,-37493.47,-57082.39,-25087.9,-55059.16,33757.32,-95845.46,14019.1,-15762.4,64972.06,2351.09,-30594.05,-56564.25,-92623.38,-56416.01,-65191.67,-37886.04,-39733.6,-60677.91,4693.028,-17942.58,-22995.96,-67603.77,-19038.99,-105496.5,-51135.36,-89372.52,-62582.26,17888.98,-22480.08,-5328.224,-35964.63,-19818.95,-63363.79,6383.192,-18379.38,-15154.48,87441.32,-47569.32,-7375.705,-17239.03,-23163.55,-76601.4,-64382.34,-44354.69,-32570.34,-82971.74,-54229.39,-21300.26
0.25,18984.41,-16720.4,29179.28,-24191.99,-73872.37,-16486.7,-61458.35,18626.85,-79512.01,8867.621,-14727.45,80169,-24696.48,-47219.48,-56135.93,-57337.66,-63354.78,-82657.95,-37796.59,-47090.73,-61312.95,-954.4977,-23717.59,-21017.51,-51454.35,-30050.93,-96895.55,-65825.18,-79334.18,-44550.57,27708.47,-15901.29,-39123.17,-30351.03,-11909.12,-47647.82,18632.69,-23037.46,-1100.72,97959.86,-48505.36,-171.1918,-407.2747,-21242.79,-85844.79,-67063.84,-47775.17,-43025.49,-97084.05,-66941.46,-11462.83
0.3,34590.33,2135.372,25885.23,-36578.7,-52609.43,-29084.46,-67109.53,3071.381,-87784.71,20648.52,-4251.489,60671.98,-8864.449,-41958.75,-66339.12,-62810.18,-43637.59,-60924.32,-33247.04,-46680.06,-46305,12558.26,-33526.98,-14530.53,-82944.72,-17137.54,-79332.53,-54185.11,-70338.35,-51794.69,11605.31,-25396.67,-7369.824,-22185.52,-18905.36,-53276.86,17945.17,-19106.57,9546.731,94483.06,-39930.66,3009.302,-14698.2,-19017.12,-78011.69,-66066.97,-58192.96,-53799.94,-91378.12,-52713.03,-21019.42
0.35,7084.225,-13763.83,37602,-31158.23,-61239.91,-21734.12,-78936.7,4058.724,-90375.89,11838.89,-48732.61,57705.25,-49134.41,-49406.18,-56048.55,-68874.53,-60777.14,-94035.28,-62454.67,-42835.4,-62265.18,2396.398,-45501.37,-24693.05,-74635.52,-18342.24,-116025.9,-70984.8,-87116.18,-63906.04,31515.15,-23770.46,-39988.14,-48482.89,-18655.89,-77421.08,5861.274,-8640.116,3815.605,72794.83,-39425.74,-7633.017,954.0592,-17222.27,-97815.65,-61042.05,-72107.02,-61506.46,-111607.9,-79426.76,-16195.19
0.4,-18015.03,-33985.69,19214.83,-45468.8,-52736.46,-31958.48,-71680.13,6402.138,-105794.5,8673.735,-41170.98,31685.14,-84131.35,-60810.5,-49908.65,-94355.63,-57735.45,-98781.69,-37144.44,-53575.07,-61910.72,-18296.33,-34952.02,-18339.71,-65118.43,-30784.05,-101070.3,-57871.3,-68346.16,-53938.18,17586.02,-28314.79,-6668.335,-57443.18,-35206.61,-79188.39,5891.797,-24388.15,-5720.579,54489.45,-45340.09,-14647.84,-2986.44,-32334.75,-93943.05,-82973.91,-69485.93,-80458.56,-94104.89,-63051.74,-21456.17
0.45,-25286.55,-53123.43,35576.1,-50773.53,-59388.41,-42085.77,-66742.05,18419.29,-108312.7,-9459.452,-58007.2,5988.655,-73229.93,-68260.82,-57975.93,-94998.27,-81522.15,-109155.6,-55446.61,-44284.86,-97256.96,-44549.2,-62126.68,-13075.69,-84204.23,-34683.03,-96931.63,-56089.85,-85059.39,-98450.09,-697.0572,-31676.22,-12555.51,-69445.16,-46589.82,-102785.7,3739.331,-10819.99,8596.104,46570.75,-60217.14,-25922.49,-8403.295,-22664.9,-106261.1,-94167.48,-111565.7,-82712.85,-99112.75,-86792.8,-73465.37
