Time, Channel Name, Value
0, IO1,0
0.001, IO1,0
0.002, IO1,0
0.003, IO1,0
0.004, IO1,0
0.005, IO1,0
0.006, IO1,0
0.007, IO1,0
0.008, IO1,0
0.009, IO1,0
0.01, IO1,0
0.011, IO1,0
0.012, IO1,0
0.013, IO1,0
0.014, IO1,0
0.015, IO1,0
0.016, IO1,0
0.017, IO1,0
0.018, IO1,0
0.019, IO1,0
0.02, IO1,0
0.021, IO1,0
0.022, IO1,0
0.023, IO1,0
0.024, IO1,0
0.025, IO1,0
0.026, IO1,0
0.027, IO1,0
0.028, IO1,0
0.029, IO1,0
0.03, IO1,0
0.031, IO1,0
0.032, IO1,0
0.033, IO1,0
0.034, IO1,0
0.035, IO1,0
0.036, IO1,0
0.037, IO1,0
0.038, IO1,0
0.039, IO1,0
0.04, IO1,0
0.041, IO1,0
0.042, IO1,0
0.043, IO1,0
0.044, IO1,0
0.045, IO1,0
0.046, IO1,0
0.047, IO1,0
0.048, IO1,0
0.049, IO1,0
0.05, IO1,0
0.051, IO1,0
0.052, IO1,0
0.053, IO1,0
0.054, IO1,0
0.055, IO1,0
0.056, IO1,0
0.057, IO1,0
0.058, IO1,0
0.059, IO1,0
0.06, IO1,0
0.061, IO1,0
0.062, IO1,0
0.063, IO1,0
0.064, IO1,0
0.065, IO1,0
0.066, IO1,0
0.067, IO1,0
0.068, IO1,0
0.069, IO1,0
0.07, IO1,0
0.071, IO1,0
0.072, IO1,0
0.073, IO1,0
0.074, IO1,0
0.075, IO1,0
0.076, IO1,0
0.077, IO1,0
0.078, IO1,0
0.079, IO1,0
0.08, IO1,0
0.081, IO1,0
0.082, IO1,0
0.083, IO1,0
0.084, IO1,0
0.085, IO1,0
0.086, IO1,0
0.087, IO1,0
0.088, IO1,0
0.089, IO1,0
0.09, IO1,0
0.091, IO1,0
0.092, IO1,0
0.093, IO1,0
0.094, IO1,0
0.095, IO1,0
0.096, IO1,0
0.097, IO1,0
0.098, IO1,0
0.099, IO1,0
0.1, IO1,0
0.101, IO1,0
0.102, IO1,0
0.103, IO1,0
0.104, IO1,0
0.105, IO1,0
0.106, IO1,0
0.107, IO1,0
0.108, IO1,0
0.109, IO1,0
0.11, IO1,0
0.111, IO1,0
0.112, IO1,0
0.113, IO1,0
0.114, IO1,0
0.115, IO1,0
0.116, IO1,0
0.117, IO1,0
0.118, IO1,0
0.119, IO1,0
0.12, IO1,0
0.121, IO1,0
0.122, IO1,0
0.123, IO1,0
0.124, IO1,0
0.125, IO1,0
0.126, IO1,0
0.127, IO1,0
